title,prize,amount,year,link,genre,film_length,animation,film_stage,latin,torrent_search,youtube_search
Maria Full of Grace,Audience Award Dramatic,1,2004,https://en.m.wikipedia.org//wiki/Maria_Full_of_Grace,dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Maria%20Full%20of%20Grace%202004,https://www.youtube.com/results?search_query=Maria+Full+of+Grace+2004
Super Size Me,Directing Award Documentary,1,2004,https://en.m.wikipedia.org//wiki/Super_Size_Me,documentary,,,directing,,https://rutracker.org/forum/tracker.php?nm=Super%20Size%20Me%202004,https://www.youtube.com/results?search_query=Super+Size+Me+2004
Down to the Bone,Directing Award Dramatic,1,2004,https://en.m.wikipedia.org//wiki/Down_to_the_Bone_(film),dramatic,,,directing,,https://rutracker.org/forum/tracker.php?nm=Down%20to%20the%20Bone%202004,https://www.youtube.com/results?search_query=Down+to+the+Bone+2004
Imelda,Excellence in Cinematography Award Documentary,1,2004,https://en.m.wikipedia.org//wiki/Imelda_(film),documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Imelda%202004,https://www.youtube.com/results?search_query=Imelda+2004
November,Excellence in Cinematography Award Dramatic,1,2004,https://en.m.wikipedia.org//wiki/November_(2004_film),dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=November%202004,https://www.youtube.com/results?search_query=November+2004
Repatriation,Freedom of Expression Award,1,2004,https://en.m.wikipedia.org//wiki/Repatriation_(film),,,,,,https://rutracker.org/forum/tracker.php?nm=Repatriation%202004,https://www.youtube.com/results?search_query=Repatriation+2004
Dig!,Grand Jury Prize Documentary,1,2004,https://en.m.wikipedia.org//wiki/Dig!,documentary,,,,,https://rutracker.org/forum/tracker.php?nm=Dig!%202004,https://www.youtube.com/results?search_query=Dig!+2004
Primer,Grand Jury Prize Dramatic,1,2004,https://en.m.wikipedia.org//wiki/Primer_(film),dramatic,,,,,https://rutracker.org/forum/tracker.php?nm=Primer%202004,https://www.youtube.com/results?search_query=Primer+2004
Curtis,Honorable Mention in Short Filmmaking,1,2004,,,short,,,,https://rutracker.org/forum/tracker.php?nm=Curtis%202004,https://www.youtube.com/results?search_query=Curtis+2004
Harvie Krumpet,Honorable Mention in Short Filmmaking,1,2004,https://en.m.wikipedia.org//wiki/Harvie_Krumpet,,short,,,,https://rutracker.org/forum/tracker.php?nm=Harvie%20Krumpet%202004,https://www.youtube.com/results?search_query=Harvie+Krumpet+2004
